,DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS,items
10,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
11,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
12,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,HighPorosity,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
13,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
14,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
15,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
16,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
17,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
18,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
19,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
20,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
21,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
22,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
23,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
24,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
25,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
26,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
27,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
28,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
29,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
30,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
31,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
32,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
33,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
34,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
35,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
36,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
37,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
38,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
39,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
40,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
41,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
42,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
43,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
44,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
45,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
46,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
47,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
48,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
49,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
50,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
51,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
52,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
53,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
54,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
55,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
56,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
57,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
58,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
59,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
60,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
61,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
62,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
63,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
64,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
65,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
66,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
67,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
68,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
69,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
70,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
71,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
72,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
73,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
74,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
75,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
76,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
77,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
78,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
79,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
80,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
81,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
82,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
83,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
84,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
85,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
86,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
87,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
88,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
89,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
90,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
91,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
92,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
93,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
94,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
95,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
96,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
97,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
98,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
99,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
100,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
101,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,LowVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , LowVelocity, MidPorosity "
102,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,LowVelocity,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , LowVelocity, MidPorosity "
103,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
104,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
105,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
106,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
107,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
108,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
109,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
110,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
111,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
112,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
113,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
114,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
115,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
116,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
117,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
118,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
119,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
120,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122,"BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
