level_0,index,DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS
49,49,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
50,50,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
51,51,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
52,52,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
53,53,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
54,54,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
55,55,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
56,56,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
57,57,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
58,58,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
59,59,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
60,60,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
61,61,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
62,62,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
63,63,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
64,64,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
65,65,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
66,66,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
67,67,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
68,68,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
69,69,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
70,70,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
71,71,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
72,72,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
73,73,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
74,74,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
75,75,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
76,76,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
77,77,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
78,78,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
79,79,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
80,80,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
81,81,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
82,82,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
83,83,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
84,84,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
85,85,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
86,86,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122
87,87,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122
88,88,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS122
89,89,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
90,90,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
91,91,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
92,92,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
93,93,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
94,94,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
95,95,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
96,96,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
97,97,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
98,98,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
99,99,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
100,100,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
101,101,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,LowVelocity,BS122
102,102,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,LowVelocity,BS122
103,103,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
104,104,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
105,105,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
106,106,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
107,107,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
108,108,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
109,109,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
110,110,InterDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
111,111,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
112,112,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
113,113,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
114,114,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
115,115,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
116,116,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
117,117,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
118,118,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
119,119,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
120,120,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
121,121,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
122,122,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
123,123,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
124,124,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
125,125,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
126,126,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
127,127,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
128,128,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
129,129,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
130,130,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
131,131,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
132,132,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
133,133,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
134,134,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
135,135,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
136,136,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
137,137,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
138,138,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
139,139,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
140,140,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
141,141,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
142,142,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
143,143,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
144,144,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
145,145,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
146,146,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
147,147,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
148,148,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
149,149,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
150,150,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
151,151,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
152,152,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
153,153,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
154,154,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
155,155,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
156,156,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
157,157,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
158,158,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
159,159,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
160,160,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
161,161,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
162,162,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
163,163,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
164,164,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
165,165,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
166,166,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
167,167,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
168,168,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
169,169,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
170,170,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
171,171,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,HighVelocity,BS122
172,172,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,HighPorosity,MidVelocity ,BS122
173,173,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,LowVelocity,BS122
174,174,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,LowVelocity,BS122
175,175,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
176,176,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
177,177,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
178,178,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
179,179,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
180,180,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
181,181,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
182,182,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
183,183,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
184,184,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
185,185,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
186,186,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
187,187,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
188,188,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
189,189,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
190,190,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
191,191,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
192,192,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
193,193,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
194,194,DeepDepth,HORDALAND,UtsiraFm,NarrowCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
195,195,DeepDepth,HORDALAND,UtsiraFm,EnlargedCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
196,196,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
197,197,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
198,198,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
199,199,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
200,200,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
201,201,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
202,202,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
203,203,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
204,204,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
205,205,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
206,206,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
207,207,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
208,208,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
209,209,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
210,210,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
211,211,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
212,212,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS122
213,213,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
214,214,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,MidVelocity ,BS122
215,215,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
216,216,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
217,217,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
218,218,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
219,219,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
220,220,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
221,221,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
222,222,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
223,223,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
224,224,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
225,225,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
226,226,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
227,227,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
228,228,DeepDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS122
