"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"Sandstone, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , LowVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , LowVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, InterDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , HighPorosity"
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , LowVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, LowVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, LowRHOB, HighVelocity, MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"Limestone, BS122, HORDALAND, UtsiraFm, DeepDepth, NarrowCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, EnlargedCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, MidVelocity , MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS122, HORDALAND, UtsiraFm, DeepDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
