,LITHOLOGY
3103,Sandstone
11955,Limestone
2854,Marl
6321,Sandstone
13358,Sandstone
13907,Sandstone
11292,Limestone
12848,SandstoneShale
2328,Limestone
1678,Chalk
11059,Sandstone
13698,Sandstone
10358,Tuff
4651,Sandstone
3480,SandstoneShale
11669,Limestone
10288,Tuff
9541,Marl
3994,SandstoneShale
13067,Sandstone
8607,Sandstone
8501,Sandstone
11097,Limestone
2602,Limestone
12441,Coal
1410,Chalk
6721,Sandstone
2972,SandstoneShale
2878,Sandstone
4627,Sandstone
9919,Sandstone
6589,Coal
2155,Limestone
3033,SandstoneShale
4096,SandstoneShale
865,SandstoneShale
10880,Sandstone
11418,Limestone
13733,Sandstone
6532,Sandstone
6939,Sandstone
2518,Marl
12257,Sandstone
9085,Sandstone
6552,Sandstone
3777,Sandstone
5769,Coal
1653,Chalk
4393,SandstoneShale
9796,Sandstone
13517,Sandstone
12358,Sandstone
7675,Sandstone
10738,Sandstone
13280,Coal
6263,Sandstone
4347,Sandstone
7408,SandstoneShale
4835,SandstoneShale
8493,Sandstone
683,Tuff
7477,Sandstone
2157,Marl
10707,Sandstone
7945,Tuff
12559,Sandstone
12443,Coal
1060,Limestone
10199,Tuff
7682,Sandstone
7432,SandstoneShale
4911,SandstoneShale
2756,SandstoneShale
7988,Tuff
11859,Limestone
2960,SandstoneShale
4104,SandstoneShale
11139,Limestone
12073,SandstoneShale
10416,Tuff
12704,Limestone
1063,Limestone
4895,SandstoneShale
11604,Limestone
11688,Limestone
1364,Chalk
6681,Sandstone
7147,SandstoneShale
11279,Limestone
4466,Sandstone
12216,Sandstone
3912,Sandstone
7086,SandstoneShale
9760,Limestone
13236,Coal
1970,Chalk
6292,Sandstone
12914,Sandstone
1261,Chalk
4441,SandstoneShale
10463,SandstoneShale
7794,Sandstone
7517,Sandstone
6672,Sandstone
4535,SandstoneShale
12008,Limestone
10254,Tuff
4281,Sandstone
4552,Sandstone
9955,Sandstone
6368,Coal
2254,Limestone
6985,SandstoneShale
6446,Coal
7315,SandstoneShale
10020,Sandstone
1350,Chalk
13516,Sandstone
1927,Chalk
4071,Sandstone
7358,SandstoneShale
2493,Marl
163,Limestone
3414,SandstoneShale
12383,Sandstone
7301,SandstoneShale
652,Tuff
10955,Sandstone
640,Tuff
13,SandstoneShale
10863,Sandstone
5394,Sandstone
12946,Sandstone
9267,Limestone
3660,Sandstone
4708,Sandstone
11383,Limestone
12260,Sandstone
5883,SandstoneShale
11913,Limestone
5477,Sandstone
635,Tuff
8566,Sandstone
8955,Sandstone
12574,Sandstone
9574,Limestone
5364,Sandstone
5715,Sandstone
2349,Limestone
84,Sandstone
4376,Sandstone
8572,Limestone
9152,Limestone
6760,Sandstone
2031,Chalk
4570,Sandstone
3175,Sandstone
7383,SandstoneShale
5814,Limestone
9375,Limestone
11305,Limestone
6291,Sandstone
10634,Sandstone
12759,SandstoneShale
13901,Sandstone
4591,SandstoneShale
5807,Marl
7395,SandstoneShale
3507,SandstoneShale
11703,Limestone
4524,Sandstone
11526,Limestone
2198,Limestone
7352,Sandstone
1033,Limestone
12631,Coal
11768,Limestone
4680,SandstoneShale
13640,Sandstone
10060,Sandstone
11412,Limestone
4367,Sandstone
131,Limestone
12451,Coal
662,Tuff
1079,Limestone
1489,Chalk
11440,Limestone
7327,SandstoneShale
6650,Sandstone
6150,Sandstone
957,Limestone
13460,Sandstone
5273,SandstoneShale
956,Limestone
8330,Sandstone
10362,Tuff
6996,SandstoneShale
13018,Sandstone
540,Limestone
3460,Sandstone
8849,Sandstone
5138,Sandstone
8267,Sandstone
8482,Sandstone
4850,SandstoneShale
849,SandstoneShale
7925,Tuff
4767,SandstoneShale
11750,Limestone
5819,Marl
12628,Coal
3897,Sandstone
12907,Sandstone
7876,Sandstone
5894,SandstoneShale
10289,Tuff
5809,Marl
9883,Sandstone
8359,Sandstone
6857,Sandstone
584,Tuff
7721,Sandstone
8146,Tuff
4142,SandstoneShale
2367,Limestone
13679,Sandstone
9956,Sandstone
12095,SandstoneShale
6818,Sandstone
7319,SandstoneShale
644,Tuff
3894,Sandstone
10845,Sandstone
6317,SandstoneShale
4362,Sandstone
11200,Limestone
2712,Marl
12556,Sandstone
3519,SandstoneShale
11398,Limestone
3187,Sandstone
9271,Limestone
12164,Sandstone
2788,Marl
7670,Sandstone
12313,Sandstone
9829,Sandstone
1621,Chalk
10944,Sandstone
6871,Sandstone
7095,SandstoneShale
9693,Sandstone
7520,Sandstone
10958,Sandstone
1962,Chalk
6784,Sandstone
6343,Sandstone
7888,Sandstone
4270,Sandstone
2608,Marl
2274,Limestone
2379,Limestone
1999,Chalk
11596,Limestone
169,Limestone
4978,SandstoneShale
1163,Chalk
13252,Sandstone
2843,Marl
468,Sandstone
1284,Marl
3246,Limestone
7606,Sandstone
9907,Sandstone
7081,SandstoneShale
13825,Sandstone
13638,Sandstone
8192,Tuff
10862,Sandstone
5080,SandstoneShale
5521,Sandstone
12919,Sandstone
10981,Sandstone
12722,Coal
2164,Limestone
1780,Chalk
155,Limestone
8811,Limestone
13866,Coal
5302,Sandstone
214,SandstoneShale
9969,Sandstone
12238,Sandstone
2880,Sandstone
3230,Limestone
7462,Sandstone
778,SandstoneShale
12081,SandstoneShale
2700,Marl
1537,Chalk
434,Sandstone
11582,Limestone
8415,Sandstone
9200,Limestone
10585,Sandstone
6972,SandstoneShale
3513,Sandstone
4255,Sandstone
8603,Sandstone
1112,Limestone
7663,Sandstone
9122,Sandstone
5393,Sandstone
10906,Sandstone
10593,Sandstone
8670,Sandstone
4110,SandstoneShale
2206,Limestone
7407,SandstoneShale
637,Tuff
7289,SandstoneShale
13407,Sandstone
5294,Sandstone
10264,Tuff
3372,SandstoneShale
2724,SandstoneShale
6483,Sandstone
922,Limestone
8202,Limestone
3807,SandstoneShale
2704,Marl
11931,Limestone
7508,Sandstone
2904,Limestone
12926,Sandstone
12541,Sandstone
1009,Limestone
11340,Limestone
5528,Sandstone
1141,Chalk
3009,SandstoneShale
8409,Sandstone
10764,Sandstone
2242,Limestone
2638,Marl
5177,Sandstone
13810,Sandstone
10678,Sandstone
2746,SandstoneShale
13387,Coal
8552,Sandstone
2526,Marl
8076,Tuff
10560,Sandstone
7428,SandstoneShale
7690,Sandstone
1342,Chalk
1688,Chalk
7707,Sandstone
2632,Limestone
11107,Limestone
2066,Chalk
11188,Limestone
3167,Sandstone
12206,Sandstone
13842,Coal
8641,Sandstone
10096,Sandstone
1958,Chalk
972,Limestone
8362,Sandstone
2382,Limestone
6413,Sandstone
3696,SandstoneShale
3654,Sandstone
9588,Limestone
9312,Limestone
6581,Sandstone
8118,Tuff
2090,Chalk
4183,SandstoneShale
13876,Coal
7655,Sandstone
409,Sandstone
8187,Tuff
8257,Sandstone
1296,Chalk
9909,Sandstone
11491,Limestone
428,Sandstone
7653,Sandstone
3850,Sandstone
6981,SandstoneShale
7716,Sandstone
7734,Sandstone
11803,Limestone
8647,Sandstone
13276,Coal
13572,Sandstone
6451,Coal
12350,Sandstone
3603,SandstoneShale
4344,Sandstone
12615,Coal
2300,Limestone
8079,Tuff
9262,Limestone
9856,Sandstone
1985,Chalk
4006,SandstoneShale
12199,Sandstone
11463,Limestone
5601,Sandstone
1471,Chalk
4481,Sandstone
8290,Sandstone
9680,Limestone
13574,Sandstone
3851,SandstoneShale
9263,Limestone
5681,Sandstone
11031,Sandstone
8141,Tuff
12852,SandstoneShale
11288,Limestone
11242,Limestone
10250,Tuff
4649,Sandstone
5172,Sandstone
7039,SandstoneShale
925,Limestone
3348,SandstoneShale
8963,Sandstone
8495,Sandstone
2764,SandstoneShale
100,Limestone
7696,Sandstone
7381,SandstoneShale
6751,Sandstone
9972,Sandstone
13645,Sandstone
1266,Chalk
12797,Sandstone
6330,Sandstone
8419,Sandstone
3061,SandstoneShale
5381,Sandstone
127,Limestone
11168,Limestone
1142,Chalk
5264,SandstoneShale
443,Sandstone
12253,Sandstone
181,Limestone
592,Tuff
9947,Sandstone
5321,Sandstone
5299,Sandstone
7895,Sandstone
1981,Chalk
12483,Sandstone
7468,Sandstone
648,Tuff
3815,SandstoneShale
11785,Limestone
10372,Tuff
12552,Sandstone
509,Limestone
2879,Sandstone
12724,Coal
3222,Sandstone
5988,Sandstone
9689,Limestone
844,SandstoneShale
2922,Marl
11512,Limestone
4454,Sandstone
1916,Chalk
6259,Sandstone
3401,Limestone
13535,Sandstone
6025,SandstoneShale
6088,Sandstone
5005,SandstoneShale
2570,Marl
10380,Tuff
11887,Limestone
5789,Marl
736,SandstoneShale
4408,Sandstone
88,SandstoneShale
6385,Sandstone
13863,Coal
1087,Limestone
10721,Sandstone
10137,Dolomite
7946,Tuff
2151,Limestone
11252,Limestone
11359,Limestone
4749,SandstoneShale
8820,Limestone
10148,Dolomite
2726,SandstoneShale
13710,Sandstone
5047,SandstoneShale
3141,Sandstone
12743,Coal
7631,Sandstone
11984,Limestone
10510,Sandstone
13831,Sandstone
12770,SandstoneShale
8690,Sandstone
5368,Sandstone
404,Sandstone
9535,Marl
4525,SandstoneShale
5824,Marl
3680,Sandstone
9317,Limestone
4560,Sandstone
190,Limestone
11027,Sandstone
10404,Tuff
13227,Coal
13556,Sandstone
8617,Sandstone
7257,SandstoneShale
5913,Limestone
9615,Limestone
341,Sandstone
1991,Chalk
803,SandstoneShale
4103,SandstoneShale
10935,Sandstone
13970,Coal
2008,Chalk
9542,Limestone
7625,Sandstone
5025,SandstoneShale
13960,Coal
1519,Chalk
8140,Tuff
6126,Sandstone
6234,Sandstone
2782,Marl
13404,SandstoneShale
5647,Sandstone
4604,Sandstone
12849,SandstoneShale
9987,Sandstone
1707,Chalk
2390,Limestone
9324,Limestone
289,Sandstone
12418,Coal
4553,Sandstone
8598,Sandstone
2930,Marl
8002,Tuff
8788,Sandstone
6166,Sandstone
13228,Coal
2589,Marl
7400,SandstoneShale
12647,Sandstone
6545,Sandstone
6821,Sandstone
2063,Chalk
9853,Sandstone
12652,Sandstone
9031,Sandstone
12622,Coal
13790,Coal
10769,Sandstone
1683,Chalk
10124,Sandstone
6,SandstoneShale
6544,Sandstone
623,Tuff
9715,Sandstone
9421,Limestone
6030,Sandstone
7244,SandstoneShale
641,Tuff
3520,SandstoneShale
3970,SandstoneShale
3735,SandstoneShale
2887,Sandstone
12858,SandstoneShale
12289,Sandstone
11558,Limestone
307,SandstoneShale
3391,SandstoneShale
4360,Sandstone
12065,SandstoneShale
10147,Dolomite
3817,SandstoneShale
1099,Limestone
13461,Sandstone
10683,Sandstone
4489,Sandstone
2693,Marl
13379,Sandstone
5117,SandstoneShale
9772,Sandstone
2529,Marl
12462,Sandstone
12959,Sandstone
6360,SandstoneShale
4540,Sandstone
3853,SandstoneShale
10290,Tuff
13753,Sandstone
8748,Sandstone
5068,SandstoneShale
5411,Sandstone
3825,Sandstone
485,Sandstone
6357,SandstoneShale
2109,Limestone
9083,Sandstone
8402,Sandstone
10491,Sandstone
13805,Sandstone
3835,Sandstone
189,Limestone
12195,Sandstone
2513,Limestone
7815,Sandstone
397,Sandstone
8241,Sandstone
5948,Sandstone
3635,SandstoneShale
1188,Marl
2903,Limestone
8777,Sandstone
5398,Sandstone
7971,Tuff
10706,Sandstone
1753,Chalk
4946,SandstoneShale
5400,Sandstone
5115,SandstoneShale
13566,Sandstone
3913,Sandstone
9374,Limestone
13081,Sandstone
8048,Tuff
10993,Sandstone
12810,SandstoneShale
7387,SandstoneShale
9371,Limestone
8737,Sandstone
5252,Sandstone
7394,SandstoneShale
1570,Chalk
3069,SandstoneShale
8316,Sandstone
12432,Sandstone
3572,Sandstone
7313,SandstoneShale
4780,SandstoneShale
2881,Sandstone
10366,Tuff
367,Sandstone
6272,Sandstone
6800,Sandstone
9983,Sandstone
8676,Sandstone
8122,Tuff
7900,Sandstone
8215,Limestone
6487,Sandstone
13871,Coal
5736,Sandstone
8233,Sandstone
7150,SandstoneShale
1384,Chalk
6592,Coal
3392,SandstoneShale
4782,SandstoneShale
7393,SandstoneShale
6216,Sandstone
11865,Limestone
6475,Sandstone
1525,Chalk
5635,Sandstone
7418,SandstoneShale
8986,Sandstone
12187,Sandstone
7463,Sandstone
8356,Sandstone
11248,Limestone
160,Limestone
1418,Chalk
4490,Sandstone
6944,SandstoneShale
3555,SandstoneShale
10518,Sandstone
9887,Sandstone
7856,Sandstone
11299,Limestone
12582,Sandstone
2921,Marl
5751,Sandstone
12594,Sandstone
1018,Limestone
9628,Limestone
1390,Chalk
8846,Sandstone
3538,Sandstone
11006,Sandstone
7588,Sandstone
12651,Sandstone
8124,Tuff
9788,Sandstone
1433,Chalk
12712,Coal
8866,Sandstone
4805,SandstoneShale
8911,Sandstone
3062,SandstoneShale
9888,Sandstone
6480,Sandstone
3344,SandstoneShale
9077,Sandstone
4938,SandstoneShale
10021,Sandstone
5895,SandstoneShale
6125,Sandstone
2119,Limestone
6347,Sandstone
7290,SandstoneShale
1240,Chalk
1593,Chalk
8323,Sandstone
2722,SandstoneShale
320,Sandstone
12285,Sandstone
2717,Marl
10161,Limestone
603,Tuff
4703,Sandstone
10480,Sandstone
3026,SandstoneShale
191,Limestone
9644,Limestone
13719,Sandstone
6344,Sandstone
2738,SandstoneShale
9160,Limestone
9933,Sandstone
7708,Sandstone
11025,Sandstone
976,Limestone
9549,Limestone
5526,Sandstone
613,Tuff
9440,Limestone
3616,Sandstone
9776,Sandstone
802,SandstoneShale
5192,Sandstone
10745,Sandstone
184,Limestone
6556,Sandstone
3199,Sandstone
4757,SandstoneShale
11495,Limestone
6075,Sandstone
4762,SandstoneShale
4290,Sandstone
7918,Tuff
9544,Limestone
10953,Sandstone
2377,Limestone
1507,Chalk
13628,Coal
224,SandstoneShale
581,Tuff
304,SandstoneShale
1493,Chalk
3707,SandstoneShale
5757,Sandstone
13000,Sandstone
6753,Sandstone
4787,SandstoneShale
1947,Chalk
12630,Coal
4597,Sandstone
4833,SandstoneShale
11847,Limestone
6404,Sandstone
5495,Sandstone
6406,Sandstone
5677,Sandstone
2178,Limestone
10558,Sandstone
6407,Sandstone
12057,SandstoneShale
8865,Sandstone
5743,Sandstone
10672,Sandstone
3586,Sandstone
4323,Sandstone
4217,Sandstone
1900,Chalk
4331,Sandstone
13890,Coal
7546,Sandstone
6706,Sandstone
6312,SandstoneShale
13128,Sandstone
13458,Sandstone
7454,Sandstone
4676,SandstoneShale
7554,Sandstone
3123,Sandstone
3110,Sandstone
4807,SandstoneShale
5675,Sandstone
9613,Limestone
3787,Sandstone
8954,Sandstone
4966,SandstoneShale
4090,SandstoneShale
11798,Limestone
11987,Limestone
11066,Sandstone
1456,Chalk
2686,Limestone
3064,SandstoneShale
11607,Limestone
4238,Sandstone
8696,Sandstone
9204,Limestone
3162,Sandstone
5434,Sandstone
6225,Sandstone
7300,SandstoneShale
5124,Sandstone
83,Sandstone
4271,Sandstone
3529,Sandstone
4509,Sandstone
12635,Coal
4316,Sandstone
1133,Chalk
1774,Chalk
1140,Chalk
5326,Sandstone
5610,Sandstone
7743,Sandstone
12452,Coal
7361,SandstoneShale
2761,SandstoneShale
8626,Sandstone
795,SandstoneShale
704,Tuff
3005,SandstoneShale
10280,Tuff
1777,Chalk
4236,Sandstone
4176,SandstoneShale
6201,Sandstone
3000,SandstoneShale
11650,Limestone
7391,SandstoneShale
6550,Sandstone
13486,Sandstone
6813,Sandstone
2091,Chalk
13734,Sandstone
11938,Limestone
3515,SandstoneShale
4920,SandstoneShale
7005,SandstoneShale
1336,Chalk
7414,SandstoneShale
12771,Sandstone
12613,Coal
5922,Sandstone
494,Limestone
3537,Sandstone
1961,Chalk
13706,Sandstone
3293,Sandstone
11629,Limestone
3474,SandstoneShale
4636,SandstoneShale
7031,Limestone
1594,Chalk
6543,Sandstone
9737,Sandstone
10212,Tuff
8977,Sandstone
5129,SandstoneShale
2115,Marl
9845,Sandstone
6880,SandstoneShale
293,Sandstone
8287,Sandstone
7277,SandstoneShale
10562,Sandstone
2620,Limestone
5589,Sandstone
1466,Chalk
8268,Sandstone
6902,SandstoneShale
9302,Limestone
11801,Limestone
3900,Sandstone
13829,Sandstone
5612,Sandstone
10364,Tuff
8275,Sandstone
6156,Sandstone
5554,Sandstone
9049,Sandstone
13573,Sandstone
11679,Limestone
13198,Coal
13711,Sandstone
8773,Sandstone
2504,Marl
3911,Sandstone
11065,Sandstone
10658,Sandstone
12991,Sandstone
1041,Limestone
11695,Limestone
7812,Sandstone
8295,Sandstone
3759,Sandstone
4804,Sandstone
8693,Sandstone
2312,Limestone
11736,Limestone
6950,Sandstone
7594,Sandstone
3623,SandstoneShale
474,Sandstone
11834,Limestone
6643,Sandstone
1530,Chalk
10473,SandstoneShale
8905,Sandstone
11011,Sandstone
4670,SandstoneShale
8583,Sandstone
6761,Sandstone
2884,Sandstone
11098,Limestone
12360,Sandstone
5616,Sandstone
2174,Limestone
3308,Sandstone
772,SandstoneShale
3632,SandstoneShale
9550,Limestone
13043,Sandstone
7392,SandstoneShale
11196,Limestone
9970,Sandstone
4662,SandstoneShale
6128,Sandstone
11211,Limestone
7841,Sandstone
9339,Limestone
628,Tuff
11722,Limestone
2770,Sandstone
13859,Sandstone
7860,Sandstone
1969,Chalk
7203,SandstoneShale
1567,Chalk
13872,Coal
4854,SandstoneShale
12640,Coal
6945,SandstoneShale
4852,SandstoneShale
9240,Limestone
3442,Sandstone
6313,SandstoneShale
4997,SandstoneShale
6445,Coal
6898,SandstoneShale
10810,Sandstone
211,SandstoneShale
11128,Limestone
8444,Sandstone
1399,Chalk
11753,Limestone
2175,Limestone
6440,Sandstone
10878,Sandstone
11431,Limestone
2517,Limestone
13701,Sandstone
5793,Marl
5685,Sandstone
5448,Sandstone
4952,SandstoneShale
5771,Marl
3453,SandstoneShale
435,Sandstone
4405,Sandstone
9651,Limestone
6274,Sandstone
4982,Sandstone
12929,Sandstone
5028,SandstoneShale
7117,SandstoneShale
3999,SandstoneShale
1421,Chalk
11759,Limestone
4646,Sandstone
10543,Sandstone
13470,SandstoneShale
1624,Chalk
11555,Limestone
3906,Sandstone
13473,Sandstone
2268,Limestone
7025,SandstoneShale
9370,Limestone
899,Limestone
10739,Sandstone
13273,Coal
6031,Sandstone
4366,Sandstone
1732,Chalk
8725,Sandstone
167,Limestone
4406,Sandstone
4880,SandstoneShale
9103,Sandstone
5976,Coal
406,Sandstone
3760,Sandstone
3178,Sandstone
11972,Limestone
7880,Sandstone
12433,Sandstone
1439,Chalk
969,Limestone
725,SandstoneShale
1011,Limestone
11023,Sandstone
10592,Sandstone
11451,Limestone
6210,Sandstone
13622,Sandstone
11546,Limestone
5650,Sandstone
6393,Sandstone
1824,Chalk
7627,Sandstone
12524,Sandstone
298,SandstoneShale
4774,SandstoneShale
7283,SandstoneShale
2465,Limestone
2489,Marl
16,SandstoneShale
2320,Limestone
13804,Sandstone
4665,SandstoneShale
11577,Limestone
13806,Sandstone
12725,Coal
13042,Sandstone
13359,Sandstone
13238,Coal
4744,SandstoneShale
11610,Limestone
11627,Limestone
9405,Limestone
1512,Chalk
13787,Sandstone
2915,Marl
11904,Limestone
5046,SandstoneShale
13406,Sandstone
1556,Marl
2571,Limestone
13735,Sandstone
5958,Sandstone
10220,Tuff
2525,Marl
7060,SandstoneShale
1054,Limestone
3019,SandstoneShale
12193,Sandstone
8029,Tuff
1677,Chalk
10816,Sandstone
2544,Marl
238,SandstoneShale
3397,SandstoneShale
7897,Sandstone
11697,Limestone
5197,Sandstone
6389,Sandstone
10375,Tuff
4888,SandstoneShale
7141,SandstoneShale
13324,Sandstone
6013,Sandstone
5550,Sandstone
40,Sandstone
7923,Tuff
11274,Limestone
10433,Tuff
11177,Limestone
6604,Coal
7055,SandstoneShale
13179,Coal
1558,Marl
13931,Coal
10600,Sandstone
8281,Sandstone
9663,Limestone
7078,SandstoneShale
2974,SandstoneShale
8363,Sandstone
8535,Sandstone
2800,Marl
10231,Tuff
6689,Sandstone
12780,Coal
6938,Sandstone
2045,Chalk
6469,Coal
11869,Limestone
2007,Chalk
6574,Sandstone
10037,Sandstone
11976,Limestone
11297,Limestone
7718,Sandstone
11462,Limestone
6104,Sandstone
10373,Tuff
1128,Chalk
8189,Tuff
2728,SandstoneShale
8020,Tuff
11800,Limestone
4000,SandstoneShale
6276,Sandstone
6024,SandstoneShale
11874,Limestone
1810,Chalk
4305,Sandstone
8616,Sandstone
10029,Sandstone
10275,Tuff
3578,Sandstone
10408,Tuff
10610,Sandstone
8208,Limestone
13346,Sandstone
3762,Sandstone
11967,Limestone
11223,Limestone
3887,SandstoneShale
6249,Sandstone
11436,Limestone
11857,Limestone
13039,Sandstone
2613,Marl
6149,Sandstone
8901,Sandstone
3541,Sandstone
3477,SandstoneShale
3742,Sandstone
263,Limestone
2596,Limestone
12272,Sandstone
8158,Tuff
1652,Marl
442,Sandstone
12474,Sandstone
6222,Sandstone
585,Tuff
10233,Tuff
5178,Sandstone
9499,Limestone
10241,Tuff
10377,Tuff
2351,Limestone
7768,Sandstone
3720,SandstoneShale
13399,SandstoneShale
4583,Sandstone
4132,SandstoneShale
4657,SandstoneShale
10162,Limestone
11227,Limestone
4612,SandstoneShale
3296,Sandstone
3649,Sandstone
13026,Sandstone
4012,SandstoneShale
8512,Sandstone
11603,Limestone
4875,SandstoneShale
10676,Sandstone
2035,Chalk
5817,Marl
2252,Limestone
6995,SandstoneShale
2923,Marl
1388,Chalk
13649,Sandstone
7101,SandstoneShale
3708,SandstoneShale
3266,Sandstone
4758,SandstoneShale
5443,Sandstone
9769,Sandstone
8006,Tuff
6473,Sandstone
2664,Marl
10709,Sandstone
7374,SandstoneShale
4843,SandstoneShale
10502,Sandstone
11622,Limestone
2624,Marl
9953,Sandstone
10343,Tuff
580,Tuff
11505,Limestone
8457,Sandstone
6264,Sandstone
6352,SandstoneShale
4351,Sandstone
60,Sandstone
13105,SandstoneShale
13012,Sandstone
10129,Sandstone
3924,SandstoneShale
1976,Chalk
13024,Sandstone
532,Limestone
1369,Chalk
5096,Sandstone
8806,Limestone
10253,Tuff
11820,Limestone
9531,Marl
418,Sandstone
10581,Sandstone
6105,Sandstone
1015,Limestone
3248,Sandstone
4054,SandstoneShale
11245,Limestone
8694,Sandstone
11178,Limestone
9314,Limestone
7740,Sandstone
2423,Limestone
2939,Marl
1966,Chalk
7311,SandstoneShale
3722,SandstoneShale
9941,Sandstone
9014,Sandstone
12546,Sandstone
12656,Sandstone
6486,Sandstone
10916,Sandstone
13376,Sandstone
8133,Tuff
9457,Limestone
4645,Sandstone
3661,Sandstone
4476,Sandstone
6054,Sandstone
5590,Sandstone
8959,Sandstone
12217,Sandstone
186,Limestone
38,Sandstone
9299,Limestone
6252,Sandstone
9239,Limestone
2679,Marl
4072,SandstoneShale
12252,Sandstone
7936,Tuff
1156,Chalk
1403,Chalk
4874,SandstoneShale
1563,Chalk
11363,Limestone
7388,SandstoneShale
10759,Sandstone
6900,SandstoneShale
8531,Sandstone
10801,Sandstone
8272,Sandstone
11751,Limestone
8837,Sandstone
11476,Limestone
9496,Limestone
8828,Sandstone
3050,SandstoneShale
7837,Sandstone
5132,SandstoneShale
2170,Limestone
4334,Sandstone
5544,Sandstone
10790,Sandstone
5662,Sandstone
2246,Limestone
12024,Coal
12030,Coal
12093,SandstoneShale
3284,Sandstone
121,Limestone
5943,Sandstone
2851,Marl
8221,SandstoneShale
3220,Sandstone
5433,Sandstone
2995,SandstoneShale
2160,Marl
9666,Limestone
8759,Limestone
372,Sandstone
5680,Sandstone
12666,Sandstone
7704,Sandstone
6593,Coal
5816,Limestone
7226,SandstoneShale
4668,SandstoneShale
1495,Chalk
7328,SandstoneShale
9441,Limestone
611,Tuff
12878,Coal
6715,Sandstone
13768,Sandstone
1508,Chalk
205,SandstoneShale
14,SandstoneShale
10389,Tuff
414,Sandstone
7672,Sandstone
9595,Limestone
7162,SandstoneShale
5759,Sandstone
3059,SandstoneShale
4395,SandstoneShale
8790,Sandstone
2799,Marl
4469,SandstoneShale
7911,Tuff
1409,Chalk
5833,Marl
2124,Limestone
12338,Sandstone
11932,Limestone
5800,Marl
786,Limestone
7485,Sandstone
9147,Limestone
11951,Limestone
9362,Limestone
8732,Sandstone
13002,Sandstone
11818,Limestone
12296,Sandstone
2999,SandstoneShale
955,Limestone
10357,Tuff
13927,Coal
9555,Limestone
7629,Sandstone
481,Sandstone
912,Limestone
8763,Limestone
4523,Sandstone
7164,SandstoneShale
9252,Limestone
2743,SandstoneShale
383,Sandstone
10371,Tuff
11249,Limestone
12419,Coal
213,SandstoneShale
12998,Sandstone
5643,Sandstone
3977,SandstoneShale
13413,Sandstone
2682,Marl
4913,SandstoneShale
2023,Chalk
5786,Marl
5512,Sandstone
12653,Sandstone
5867,SandstoneShale
6517,Sandstone
1105,Limestone
9401,Limestone
50,Sandstone
12764,SandstoneShale
3426,Sandstone
12728,Coal
13116,SandstoneShale
13169,Coal
13041,Sandstone
355,Sandstone
11860,Limestone
4818,SandstoneShale
1787,Chalk
11385,Limestone
7687,Sandstone
13136,Sandstone
13809,Sandstone
63,Sandstone
13374,Sandstone
7351,Sandstone
7600,Sandstone
8251,Sandstone
900,Limestone
12202,Sandstone
