WELL,CALI,RDEP,RMED,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,SP,LITHO_CODE,LITHO_CONF
33_9-17,15.018502235,0.9300000072,1.282750845,166.66462708,0.4721539617,14.810923576,65.669265747,1.9268276691,-0.016953561,576.84997559,438476.65625,6814189.0,-550.7668457,18.990379333,65000.0,1.0
33_9-17,14.664615631,0.9300000072,1.1581212282,166.05262756,0.4856390059,11.586996078,68.882492065,1.9297368526,-0.013484748,577.00201416,438476.65625,6814189.0,-550.9188843,18.831768036,65000.0,1.0
33_9-17,14.845127106,0.9295699596,1.0663660765,165.97792053,0.4977929294,9.6910543442,69.318115234,1.9400074482,-0.013,577.1539917,438476.65625,6814189.0,-551.0708618,18.555175781,65000.0,1.0
33_9-17,14.768478394,0.9277177453,0.9939491153,165.61167908,0.515532732,9.7824172974,67.037788391,1.9371082783,-0.012166895,577.30596924,438476.65625,6814189.0,-551.2228394,18.597080231,65000.0,1.0
33_9-17,14.678224564,0.9247251749,0.9456023574,165.57740784,0.5199999809,14.121931076,62.833686829,1.8794637918,-0.012,577.45800781,438476.65625,6814189.0,-551.3748169,18.238008499,65000.0,1.0
33_9-17,15.122035027,0.9217324853,0.9297208786,167.3740387,0.5122867227,31.741176605,56.719474792,1.7929093838,-0.01448338,577.60998535,438476.65625,6814189.0,-551.5267944,17.642921448,65000.0,1.0
33_9-17,15.269791603,0.9200000167,0.9403293133,169.05291748,0.4869399369,6.8844561577,56.90026474,1.7286701202,-0.013349726,577.76196289,438476.65625,6814189.0,-551.678772,17.307832718,65000.0,1.0
33_9-17,15.482906342,0.9200000167,0.9479300976,169.55319214,0.4800000191,6.8844561577,57.789306641,1.696526289,-0.014644963,577.91400146,438476.65625,6814189.0,-551.8307495,17.345750809,65000.0,1.0
33_9-17,16.662229538,0.9200000167,0.9019581079,170.53091431,0.4672466218,6.8844561577,58.764209747,1.6830168962,-0.083475754,578.36999512,438476.65625,6814189.0,-552.2867432,18.280193329,65000.0,1.0
33_9-17,16.762901306,0.9204069972,0.8916268945,172.0604248,0.4600000083,6.8844561577,61.570396423,1.6898486614,-0.100807108,578.52197266,438476.65625,6814189.0,-552.4387207,18.344472885,65000.0,1.0
33_9-17,16.930213928,0.9230215549,0.8725791574,173.02719116,0.482594043,6.8844561577,61.009159088,1.6884355545,-0.112905622,578.67401123,438476.625,6814189.0,-552.5907593,18.092575073,65000.0,1.0
33_9-17,17.027433395,0.9304182529,0.8525099754,174.17553711,0.4749844372,6.8844561577,61.297702789,1.6873750687,-0.115806945,578.82598877,438476.625,6814189.0,-552.7427368,17.906152725,65000.0,1.0
33_9-17,17.117006302,0.9417880177,0.8274231553,174.57475281,0.4849644601,6.8844561577,60.019290924,1.6841077805,-0.115195714,578.97796631,438476.625,6814189.0,-552.8946533,17.220304489,65000.0,1.0
33_9-17,16.872716904,0.9533598423,0.7988294363,174.67453003,0.4601773322,6.8844561577,58.404987335,1.686280489,-0.113396734,579.13000488,438476.625,6814189.0,-553.0466919,17.465978622,65000.0,1.0
33_9-17,16.711614609,0.9627558589,0.7564831972,174.62576294,0.4722873271,6.8844561577,57.149021149,1.6870285273,-0.115396932,579.28198242,438476.625,6814189.0,-553.1986694,18.182182312,65000.0,1.0
33_9-17,17.31212616,0.9693462253,0.7271520495,173.8601532,0.4874025583,6.8844561577,56.65871048,1.6869740486,-0.11759264,579.43395996,438476.625,6814189.0,-553.350647,18.560064316,65000.0,1.0
33_9-17,17.565818787,0.9753302336,0.7204361558,170.9460907,0.4973759949,6.8844561577,58.622123718,1.6848609447,-0.117206335,579.58599854,438476.625,6814189.0,-553.5026245,18.164001465,65000.0,1.0
33_9-17,17.497770309,0.9979004264,0.7462904453,166.62109375,0.4853011668,6.8844561577,60.101646423,1.6899061203,-0.117791012,579.73797607,438476.625,6814189.0,-553.6546021,17.908132553,65000.0,1.0
33_9-17,17.15984726,1.3436477184,0.7922410965,155.95858765,0.4580313861,6.8844561577,59.871551514,1.7164583206,-0.120365061,579.89001465,438476.625,6814189.0,-553.8066406,18.058071136,65000.0,1.0
33_9-17,16.208919525,1.8539021015,0.9098641872,151.95304871,0.4718889296,6.8844561577,58.433410645,1.7614437342,-0.124928489,580.04199219,438476.625,6814189.0,-553.9586182,17.942592621,65000.0,1.0
33_9-17,14.881797791,1.8569999933,1.0419162512,151.20483398,0.5163487196,25.847810745,58.286750793,1.8158013821,-0.126783043,580.19396973,438476.625,6814189.0,-554.1105957,17.693256378,65000.0,1.0
33_9-17,14.228380203,1.8690080643,1.1978163719,151.43458557,0.5299999714,15.698812485,59.832237244,1.861259222,-0.127780393,580.3460083,438476.625,6814189.0,-554.2625732,17.896619797,65000.0,1.0
33_9-17,13.803643227,1.9311314821,1.2837802172,153.47631836,0.5372166634,11.469747543,60.713314056,1.8968757391,-0.114773296,580.49798584,438476.625,6814189.0,-554.4145508,18.270624161,65000.0,1.0
33_9-17,13.353917122,2.1278641224,1.2711588144,158.94544983,0.5040496588,9.9831371307,61.450424194,1.919142127,-0.094715036,580.64996338,438476.625,6814189.0,-554.5665283,18.375,65000.0,1.0
33_9-17,13.444801331,2.5823659897,1.3382822275,161.15817261,0.4971635044,8.7849197388,62.829147339,1.940103054,-0.065269805,580.80200195,438476.625,6814189.0,-554.7185669,18.285455704,65000.0,1.0
33_9-17,13.55911541,3.0777323246,1.5541924238,161.1572113,0.4714407623,8.0225572586,65.847106934,1.9661772251,-0.035665285,580.95397949,438476.625,6814189.0,-554.8705444,18.428495407,65000.0,1.0
33_9-17,13.264593124,3.1359648705,1.8493441343,161.17114258,0.4600000083,8.1527910233,67.541976929,2.0102410316,-0.018254908,581.10595703,438476.625,6814189.0,-555.022522,18.32213974,65000.0,1.0
33_9-17,12.86374855,2.9196827412,2.1247723103,160.27857971,0.4458243251,10.961478233,69.540161133,2.0614731312,-0.010410896,581.25799561,438476.625,6814189.0,-555.1744995,18.072803497,65000.0,1.0
33_9-17,12.75,2.7487466335,2.1808342934,158.48773193,0.4258774519,15.561388016,72.191848755,2.0984604359,-0.009,581.40997314,438476.625,6814189.0,-555.3264771,18.088266373,65000.0,1.0
33_9-17,12.651089668,2.6642510891,2.1652245522,157.05583191,0.4411041141,16.905742645,75.418182373,2.10359025,-0.005961845,581.56201172,438476.59375,6814189.0,-555.4785156,17.949132919,65000.0,1.0
33_9-17,12.680532455,2.6906344891,2.1867985725,155.71887207,0.4710244834,14.308393478,74.948265076,2.0891451836,-0.003486235,581.71398926,438476.59375,6814189.0,-555.6304932,17.875,65000.0,1.0
33_9-17,12.91818428,2.7134847641,2.243029356,155.43963623,0.4800000191,11.271792412,73.352531433,2.0770673752,0.0007711334,581.8659668,438476.59375,6814189.0,-555.7824707,17.787729263,65000.0,1.0
33_9-17,13.105588913,2.6667211056,2.1723847389,155.63909912,0.4591349065,10.255839348,71.285682678,2.0781645775,0.0035031415,582.01800537,438476.59375,6814189.0,-555.9344482,17.576124191,65000.0,1.0
33_9-17,13.045582771,2.5877299309,2.0306050777,156.53141785,0.4499999881,9.4760742188,70.735710144,2.08842206,0.0062467442,582.16998291,438476.59375,6814189.0,-556.0864258,17.586605072,65000.0,1.0
33_9-17,12.886740685,2.4969716072,1.9476845264,157.10707092,0.4430980682,9.4174699783,69.345840454,2.0984117985,0.0055074827,582.32196045,438476.59375,6814189.0,-556.2384033,17.797548294,65000.0,1.0
33_9-17,12.895027161,2.4207541943,1.9391191006,157.40626526,0.4193739295,9.3808288574,67.785110474,2.1084878445,0.0057436028,582.47399902,438476.59375,6814189.0,-556.3904419,17.789058685,65000.0,1.0
33_9-17,13.044971466,2.3708527088,1.9332431555,157.36302185,0.3894536197,9.2161970139,66.476097107,2.1242649555,0.0082237301,582.62597656,438476.59375,6814189.0,-556.5424194,17.835609436,65000.0,1.0
33_9-17,13.19752121,2.3119950294,1.9318699837,157.16355896,0.3799999952,8.3669691086,65.294998169,2.1389372349,0.0126934564,582.77801514,438476.59375,6814189.0,-556.694397,17.875,65000.0,1.0
33_9-17,13.242200851,2.2593851089,1.9498134851,156.96408081,0.3867956698,7.3655900955,64.979972839,2.1435756683,0.0140000004,582.92999268,438476.59375,6814189.0,-556.8463745,17.790054321,65000.0,1.0
33_9-17,13.326848984,2.2460000515,1.9420925379,156.76455688,0.3899999857,6.9883069992,66.777603149,2.1389243603,0.0125332419,583.08197021,438476.59375,6814189.0,-556.9983521,17.834648132,65000.0,1.0
33_9-17,13.319770813,2.2538104057,1.9052850008,156.43014526,0.3899999857,6.8148508072,68.510482788,2.1304607391,0.0120000001,583.23400879,438476.59375,6814189.0,-557.1503906,17.706335068,65000.0,1.0
33_9-17,13.265381813,2.2783923149,1.8634808064,156.16560364,0.3967199922,6.7998490334,67.761497498,2.1182937622,0.0105432821,583.38598633,438476.59375,6814189.0,-557.3023682,18.212999344,65000.0,1.0
33_9-17,13.150668144,2.2979207039,1.8351405859,156.30079651,0.4066934288,6.5680322647,68.484352112,2.1089806557,0.0056451294,583.53796387,438476.59375,6814189.0,-557.4542847,18.248996735,65000.0,1.0
33_9-17,13.028664589,2.302952528,1.8363336325,156.19999695,0.4099999964,6.8189454079,70.250038147,2.1089334488,0.0018305327,583.69000244,438476.59375,6814189.0,-557.6063232,17.874992371,65000.0,1.0
33_9-17,13.049239159,2.3084630966,1.8489003181,155.90078735,0.4099999964,7.0492968559,72.265068054,2.11454916,-0.001161499,583.84197998,438476.59375,6814189.0,-557.7583008,17.583992004,65000.0,1.0
33_9-17,13.114275932,2.3209946156,1.843113184,155.75041199,0.3901587129,7.3777484894,70.478500366,2.1226863861,-0.004153532,583.99395752,438476.59375,6814189.0,-557.9102783,17.748016357,65000.0,1.0
33_9-17,13.210000992,2.3415944576,1.8244303465,155.6756134,0.3931744099,7.9082856178,67.705383301,2.1256341934,-0.005,584.14599609,438476.59375,6814189.0,-558.0623169,18.204360962,65000.0,1.0
33_9-17,13.260234833,2.3682162762,1.8318989277,156.01083374,0.3934393525,9.2138385773,67.019508362,2.1231069565,-0.005712532,584.29797363,438476.5625,6814189.0,-558.2142334,18.457008362,65000.0,1.0
33_9-17,13.326890945,2.377566576,1.8966732025,156.85340881,0.4030681551,10.394150734,69.104400635,2.1192517281,-0.008129627,584.45001221,438476.5625,6814189.0,-558.366272,18.5,65000.0,1.0
33_9-17,13.242461205,2.3671734333,1.931815505,156.90716553,0.4099999964,9.6686077118,69.984138489,2.1154923439,-0.00617112,584.60198975,438476.5625,6814189.0,-558.5182495,17.767904282,65000.0,1.0
33_9-17,13.159415245,2.3527078629,1.9154107571,156.45835876,0.4035190344,7.7395634651,68.538299561,2.1176998615,-0.005704564,584.75396729,438476.5625,6814189.0,-558.6702271,17.456012726,65000.0,1.0
33_9-17,13.208943367,2.3461863995,1.8423632383,155.52548218,0.400000006,6.3984284401,65.997200012,2.1225044727,-0.004596184,584.90600586,438476.5625,6814189.0,-558.8222046,17.419319153,65000.0,1.0
33_9-17,13.352739334,2.3495879173,1.7887372971,154.32835388,0.400000006,5.7764725685,65.843994141,2.1310448647,-0.004,585.0579834,438476.5625,6814189.0,-558.9741821,17.857280731,65000.0,1.0
33_9-17,13.419096947,2.3524565697,1.763047576,153.51568604,0.393594712,5.4607110023,65.832099915,2.1420097351,-0.001910212,585.20996094,438476.5625,6814189.0,-559.1261597,18.365198135,65000.0,1.0
33_9-17,13.531549454,2.3554227352,1.7253216505,153.42756653,0.402757436,5.3227086067,65.961174011,2.1525700092,0.0003878799,585.36199951,438476.5625,6814189.0,-559.2781982,18.5,65000.0,1.0
33_9-17,13.722812653,2.3511400223,1.7095258236,153.62702942,0.3972956538,5.5385832787,65.790489197,2.1533780098,0.001691561,585.51397705,438476.5625,6814189.0,-559.4301758,18.420597076,65000.0,1.0
33_9-17,13.935240746,2.333799839,1.7434624434,154.96511841,0.396325618,6.1071095467,65.443893433,2.1446785927,0.0033780569,585.66601563,438476.5625,6814189.0,-559.5821533,18.13779068,65000.0,1.0
33_9-17,13.868011475,2.2950885296,1.7977967262,155.88896179,0.3937009573,6.458791256,65.060050964,2.1358127594,0.0040000002,585.81799316,438476.5625,6814189.0,-559.7341309,18.0,65000.0,1.0
33_9-17,13.668581963,2.2578296661,1.8147873878,156.18817139,0.3899999857,6.4999313354,63.7576828,2.1348190308,0.0060511497,585.9699707,438476.5625,6814189.0,-559.8861084,18.235218048,65000.0,1.0
33_9-17,13.557628632,2.2494783401,1.8018945456,156.36245728,0.3899999857,6.4541354179,64.089172363,2.1354002953,0.0029136373,586.12200928,438476.5625,6814189.0,-560.038147,18.453073502,65000.0,1.0
33_9-17,13.628409386,2.2587273121,1.7872526646,155.71588135,0.3899999857,6.426322937,65.309432983,2.1345403194,0.001,586.27398682,438476.5625,6814189.0,-560.1901245,18.655483246,65000.0,1.0
33_9-17,13.643964767,2.2703211308,1.773196578,155.26904297,0.4023855925,6.1485295296,67.893684387,2.1280691624,-0.002378743,586.42596436,438476.5625,6814189.0,-560.3421021,18.595180511,65000.0,1.0
33_9-17,13.694278717,2.2830700874,1.7579807043,155.21916199,0.4161662459,5.6769595146,70.290557861,2.1288013458,-0.002653815,586.57800293,438476.5625,6814189.0,-560.4940796,18.577077866,65000.0,1.0
33_9-17,13.799730301,2.2844090462,1.744141221,155.26141357,0.4138602912,5.3491501808,70.093292236,2.1362659931,-0.003340873,586.72998047,438476.5625,6814189.0,-560.6460571,18.548254013,65000.0,1.0
33_9-17,13.898011208,2.275274992,1.7322310209,155.11660767,0.4099999964,5.3907165527,68.721946716,2.1432957649,-0.00333222,586.88195801,438476.5625,6814189.0,-560.7980347,18.5,65000.0,1.0
33_9-17,14.01832962,2.2651181221,1.7337039709,154.81741333,0.4039134383,5.472700119,66.285446167,2.1489431858,-0.004330249,587.03399658,438476.53125,6814189.0,-560.9500732,18.195671082,65000.0,1.0
33_9-17,14.060842514,2.2848014832,1.7462904453,155.97311401,0.4060624242,5.2856259346,64.134216309,2.1488993168,-0.003012594,587.18597412,438476.53125,6814189.0,-561.1020508,18.151561737,65000.0,1.0
33_9-17,13.993362427,2.333053112,1.7623239756,160.06022644,0.4099999964,5.0249752998,64.79536438,2.1454265118,-0.001340188,587.3380127,438476.53125,6814189.0,-561.2540283,18.25,65000.0,1.0
33_9-17,13.826332092,2.3983640671,1.7981325388,166.8283844,0.4039891064,4.9758472443,64.122276306,2.1409344673,-0.001,587.48999023,438476.53125,6814189.0,-561.4060059,18.174863815,65000.0,1.0
33_9-17,13.807667732,2.4736564159,1.8670101166,170.73780823,0.3880313337,5.3427934647,65.930152893,2.134591341,0.0003098022,587.64196777,438476.53125,6814189.0,-561.5579834,18.274608612,65000.0,1.0
33_9-17,13.805010796,2.6024494171,1.9301484823,175.41085815,0.374042213,5.7820730209,65.057029724,2.1349172592,0.001,587.79400635,438476.53125,6814189.0,-561.710022,18.300527573,65000.0,1.0
33_9-17,13.75489521,2.7539756298,2.0286326408,179.860672,0.3581375778,6.0810089111,65.226356506,2.1368627548,0.0016495892,587.94598389,438476.53125,6814189.0,-561.8619995,18.398281097,65000.0,1.0
33_9-17,13.78371048,2.882568121,2.1326076984,182.29898071,0.3440953493,6.1044816971,66.698806763,2.1444940567,0.0007061338,588.09796143,438476.53125,6814189.0,-562.013916,18.204767227,65000.0,1.0
33_9-17,13.964036942,2.9931120872,2.1643846035,185.49246216,0.3458780944,6.170873642,65.574378967,2.149958849,-0.001932831,588.25,438476.53125,6814189.0,-562.1659546,18.146951675,65000.0,1.0
33_9-17,13.896568298,3.0192360878,2.1422462463,188.85546875,0.367554605,6.3720908165,65.554588318,2.1567878723,-0.003641621,588.40197754,438476.53125,6814189.0,-562.3179321,18.323144913,65000.0,1.0
33_9-17,13.618689537,3.0125350952,2.1109745502,191.67276001,0.368350029,6.7147955894,65.032814026,2.1625320911,-0.005916896,588.55395508,438476.53125,6814189.0,-562.4699097,18.375,65000.0,1.0
33_9-17,13.512321472,2.9660820961,2.0837402344,193.90171814,0.3599999845,6.82528162,65.228485107,2.1658670902,-0.007,588.70599365,438476.53125,6814189.0,-562.6219482,18.592439651,65000.0,1.0
33_9-17,13.605814934,2.8822667599,2.0226848125,195.68121338,0.3657718599,6.5034074783,65.973571777,2.1634135246,-0.007,588.85797119,438476.53125,6814189.0,-562.7738647,18.677852631,65000.0,1.0
33_9-17,13.90975666,2.8270401955,1.9092577696,196.34254456,0.42170766,6.3871626854,64.437973022,2.1511800289,-0.004476011,589.01000977,438476.53125,6814189.0,-562.9259033,18.553184509,65000.0,1.0
33_9-17,14.269128799,2.7423713207,1.841119647,196.24281311,0.437125057,6.7447280884,64.800270081,2.1440997124,-0.003628341,589.1619873,438476.53125,6814189.0,-563.0778809,18.071094513,65000.0,1.0
33_9-17,14.495247841,2.6742203236,1.8386361599,195.91526794,0.4199999869,7.5515398979,64.318107605,2.1476721764,-0.000871574,589.31396484,438476.53125,6814189.0,-563.2298584,18.177083969,65000.0,1.0
33_9-17,14.562500954,2.6865403652,1.8421227932,195.58660889,0.3916518986,8.5147628784,65.946258545,2.1580271721,0.0022460585,589.46600342,438476.53125,6814189.0,-563.3818359,18.925222397,65000.0,1.0
33_9-17,14.655101776,2.7355279922,1.8308603764,195.27427673,0.3812861145,9.7824163437,66.820045471,2.1651108265,0.003,589.61798096,438476.53125,6814189.0,-563.5338135,19.25,65000.0,1.0
33_9-17,14.717782021,2.7893414497,1.8375152349,194.9876709,0.3899999857,11.124361038,67.286834717,2.1701877117,0.0042362353,589.7699585,438476.5,6814189.0,-563.685791,19.530824661,65000.0,1.0
33_9-17,14.632305145,2.9027330875,1.9205511808,195.40309143,0.3899999857,11.382056236,66.201522827,2.1659772396,0.0049999999,589.92199707,438476.5,6814189.0,-563.8378296,19.88974762,65000.0,1.0
33_9-17,14.565960884,2.9746341705,2.0167782307,196.80140686,0.3899999857,10.589473724,64.141914368,2.160200119,0.0037743885,590.07397461,438476.5,6814189.0,-563.9898071,20.347711563,65000.0,1.0
33_9-17,14.52789402,3.0555095673,2.1013212204,197.65536499,0.3955368102,10.272065163,62.054855347,2.1588158607,-0.001881198,590.22601318,438476.5,6814189.0,-564.1417847,20.071317673,65000.0,1.0
33_9-17,14.452665329,3.2338643074,2.2020330429,197.75511169,0.3944897354,10.661844254,60.252548218,2.1635959148,-0.006214987,590.37799072,438476.5,6814189.0,-564.2937622,20.520418167,65000.0,1.0
33_9-17,14.435484886,3.4889867306,2.2846052647,197.85482788,0.379032582,11.855494499,61.028194427,2.164342165,-0.014258053,590.52996826,438476.5,6814189.0,-564.4457397,20.975814819,65000.0,1.0
33_9-17,14.470178604,3.7128026485,2.3707363605,197.95455933,0.3809142709,13.108305931,62.864105225,2.1602904797,-0.020806545,590.68200684,438476.5,6814189.0,-564.5977783,19.999643326,65000.0,1.0
33_9-17,14.450457573,3.8170716763,2.4551737309,198.10861206,0.3737082481,12.703534126,63.619617462,2.157636404,-0.020201422,590.83398438,438476.5,6814189.0,-564.7497559,18.764059067,65000.0,1.0
33_9-17,14.345866203,3.8698968887,2.5746097565,198.03787231,0.3654040098,11.299377441,64.812179565,2.1513066292,-0.016015651,590.98596191,438476.5,6814189.0,-564.9016724,18.25,65000.0,1.0
33_9-17,14.340028763,3.8838858604,2.6373779774,197.73866272,0.3484901488,10.66829586,67.353805542,2.1451413631,-0.016971068,591.13800049,438476.5,6814189.0,-565.0537109,18.048345566,65000.0,1.0
33_9-17,14.411531448,3.8096864223,2.5888538361,197.76063538,0.3407060802,10.646792412,68.123153687,2.1424503326,-0.020183116,591.28997803,438476.5,6814189.0,-565.2056885,17.808086395,65000.0,1.0
33_9-17,14.492148399,3.7667965889,2.445330143,198.11317444,0.3500000238,10.213000298,66.05569458,2.1389224529,-0.024533411,591.44195557,438476.5,6814189.0,-565.357666,18.349439621,65000.0,1.0
33_9-17,14.609035492,3.7340180874,2.2706818581,198.61810303,0.3606036007,8.8824939728,63.001327515,2.1402702332,-0.035207443,591.59399414,438476.5,6814189.0,-565.5097046,19.471450806,65000.0,1.0
33_9-17,14.771239281,3.6034328938,2.173361063,198.741745,0.3858256936,7.7329263687,62.732967377,2.1449131966,-0.042167649,591.74597168,438476.5,6814189.0,-565.6616211,19.802179337,65000.0,1.0
33_9-17,14.936903,3.468528986,2.1401369572,198.65248108,0.4157460034,7.6510400772,64.5521698,2.1425359249,-0.039511994,591.89801025,438476.5,6814189.0,-565.8136597,18.247224808,65000.0,1.0
33_9-17,15.03263855,3.3980636597,2.1184213161,198.75221252,0.4195557833,8.3510065079,66.261779785,2.135222435,-0.034106608,592.04998779,438476.5,6814189.0,-565.9656372,17.91386795,65000.0,1.0
33_9-17,15.078710556,3.3319723606,2.0931060314,198.85194397,0.394413352,9.476975441,66.765365601,2.1335301399,-0.027391821,592.20196533,438476.5,6814189.0,-566.1176147,18.035612106,65000.0,1.0
33_9-17,15.077573776,3.2749211788,2.0868520737,198.84831238,0.359324038,10.098842621,65.244285583,2.1361720562,-0.01769297,592.35400391,438476.5,6814189.0,-566.2696533,17.439611435,65000.0,1.0
33_9-17,15.0625,3.201748848,2.1137752533,198.85137939,0.3400000036,10.032349586,64.026802063,2.1397826672,-0.011858579,592.50598145,438476.46875,6814189.0,-566.4215698,18.657045364,65000.0,1.0
33_9-17,15.018553734,3.1582140923,2.144308567,198.77204895,0.3400000036,9.417801857,64.098815918,2.1394793987,-0.010431945,592.65795898,438476.46875,6814189.0,-566.5735474,20.261587143,65000.0,1.0
33_9-17,14.984539986,3.1341407299,2.1419034004,198.52276611,0.3552679121,8.4485988617,64.630584717,2.1327848434,-0.011696195,592.80999756,438476.46875,6814189.0,-566.7255859,20.241069794,65000.0,1.0
33_9-17,15.095025063,3.027500391,2.1121652126,198.34936523,0.3851882517,7.7468681335,66.203186035,2.1251497269,-0.014688228,592.9619751,438476.46875,6814189.0,-566.8775635,19.433578491,65000.0,1.0
33_9-17,15.270086288,2.8539471626,2.0767784119,197.94741821,0.4100723565,7.3995752335,68.129974365,2.120746851,-0.020480692,593.11401367,438476.46875,6814189.0,-567.029541,17.740049362,65000.0,1.0
33_9-17,15.359430313,2.7236335278,2.0120577812,197.65003967,0.4350288808,7.1872434616,69.344772339,2.1209011078,-0.025114862,593.26599121,438476.46875,6814189.0,-567.1815186,15.936657906,65000.0,1.0
33_9-17,15.417823792,2.6116900444,1.9121559858,197.65014648,0.4350447953,6.8463654518,70.622756958,2.1108319759,-0.028219098,593.41796875,438476.46875,6814189.0,-567.3334961,15.56231308,65000.0,1.0
